"id","code","name"
"contract_type_001","01","Contrato de trabajo por tiempo indeterminado"
"contract_type_002","02","Contrato de trabajo para obra determinada"
"contract_type_003","03","Contrato de trabajo por tiempo determinado"
"contract_type_004","04","Contrato de trabajo por temporada"
"contract_type_005","05","Contrato de trabajo sujeto a prueba"
"contract_type_006","06","Contrato de trabajo con capacitación inicial"
"contract_type_007","07","Modalidad de contratación por pago de hora laborada"
"contract_type_008","08","Modalidad de trabajo por comisión laboral"
"contract_type_009","09","Modalidades de contratación donde no existe relación de trabajo"
"contract_type_010","10","Jubilación, pensión, retiro."
"contract_type_099","99","Otro contrato"